SYMBOL,COMPANY_NAME,ISIN,SECTOR,INDICES,IS_FNO
WAAREEENER,Waaree Energies Ltd.,INE377N01017,Capital Goods,"NIFTY MIDCAP 100, NIFTY 500",1
WELCORP,Welspun Corp Ltd.,INE191B01025,Capital Goods,"NIFTY SMALLCAP 100, NIFTY METAL, NIFTY 500",0
WELSPUNLIV,Welspun Living Ltd.,INE192B01031,Textiles,NIFTY 500,0
WHIRLPOOL,Whirlpool of India Ltd.,INE716A01013,Consumer Durables,"NIFTY SMALLCAP 100, NIFTY 500",0
WIPRO,Wipro Ltd.,INE075A01022,Information Technology,"NIFTY 50, NIFTY IT, NIFTY 500",1
WOCKPHARMA,Wockhardt Ltd.,INE049B01025,Healthcare,"NIFTY SMALLCAP 100, NIFTY PHARMA, NIFTY 500",0
YESBANK,Yes Bank Ltd.,INE528G01035,Financial Services,"NIFTY BANK, NIFTY MIDCAP 100, NIFTY 500",1
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,INE342J01019,Automobile and Auto Components,NIFTY 500,0
ZEEL,Zee Entertainment Enterprises Ltd.,INE256A01028,Media Entertainment & Publication,"NIFTY MEDIA, NIFTY 500",0
ZENTEC,Zen Technologies Ltd.,INE251B01027,Capital Goods,NIFTY 500,0
ZENSARTECH,Zensar Technolgies Ltd.,INE520A01027,Information Technology,"NIFTY SMALLCAP 100, NIFTY 500",0
ZYDUSLIFE,Zydus Lifesciences Ltd.,INE010B01027,Healthcare,"NIFTY NEXT 50, NIFTY PHARMA, NIFTY 500",1
ZYDUSWELL,Zydus Wellness Ltd.,INE768C01028,Fast Moving Consumer Goods,NIFTY 500,0
ECLERX,eClerx Services Ltd.,INE738I01010,Services,NIFTY 500,0
